source	destination	begins	kind	source_dataset	observed_flights	frequency	firstseen_utc	operator_icao	source_ident	destination_ident	openflights_airline	openflights_route_source_id	openflights_route_destination_id
HKG	LAX	0	international	OpenSky-2020-01	251	0.6578	2019-12-31 13:55:17+00:00	CPA	VHHH	KLAX			
SVO	MUC	0	international	OpenSky-2020-01	251	0.6578	2019-12-31 21:44:09+00:00	AFL	UUEE	EDDM			
BRU	CPH	0	international	OpenSky-2020-01	250	0.6573	2020-01-01 06:37:41+00:00	BEL	EBBR	EKCH			
BOG	MAD	0	international	OpenSky-2020-01	249	0.6568	2019-12-31 14:07:47+00:00	IBE	SKBO	LEMD			
CPH	WAW	0	international	OpenSky-2020-01	245	0.6549	2020-01-01 07:18:17+00:00	LOT	EKCH	EPWA			
DFW	JFK	0	domestic	OpenSky-2020-01	245	0.6549	2019-12-31 22:35:57+00:00	EDV	KDFW	KJFK			
SVO	DUS	0	international	OpenSky-2020-01	245	0.6549	2020-01-01 05:17:54+00:00	AFL	UUEE	EDDL			
HKG	DOH	0	international	OpenSky-2020-01	244	0.6544	2019-12-31 17:09:44+00:00	QTR	VHHH	OTHH			
SVO	VIE	0	international	OpenSky-2020-01	244	0.6544	2019-12-31 23:00:59+00:00	AFL	UUEE	LOWW			
BOM	LHR	0	international	OpenSky-2020-01	243	0.6539	2019-12-31 20:49:43+00:00	BAW	VABB	EGLL	9W	2997	507
LUX	CDG	0	international	OpenSky-2020-01	243	0.6539	2020-01-01 10:15:11+00:00	LGL	ELLX	LFPG			
DXB	FRA	0	international	OpenSky-2020-01	243	0.6539	2019-12-31 13:36:35+00:00	UAE	OMDB	EDDF			
MNL	DXB	0	international	OpenSky-2020-01	242	0.6534	2019-12-31 15:44:16+00:00	UAE	RPLL	OMDB			
MEL	CHC	0	international	OpenSky-2020-01	241	0.6529	2019-12-31 22:26:58+00:00	VOZ	YMML	NZCH	JQ	3339	2009
BUD	MUC	0	international	OpenSky-2020-01	240	0.6524	2020-01-01 10:46:04+00:00	DLH	LHBP	EDDM			
LAS	PHL	0	domestic	OpenSky-2020-01	240	0.6524	2019-12-31 23:30:13+00:00	AAL	KLAS	KPHL			
ZRH	ARN	0	international	OpenSky-2020-01	239	0.6520	2020-01-01 05:59:27+00:00	SWR	LSZH	ESSA			
MUC	ATH	0	international	OpenSky-2020-01	239	0.6520	2020-01-01 06:54:15+00:00	DLH	EDDM	LGAV			
EVN	DME	0	international	OpenSky-2020-01	239	0.6520	2020-01-01 02:27:27+00:00	SBI	UDYZ	UUDD			
DUS	AMS	0	international	OpenSky-2020-01	238	0.6515	2020-01-01 05:31:51+00:00	KLM	EDDL	EHAM			
AMS	DXB	0	international	OpenSky-2020-01	238	0.6515	2019-12-31 21:58:12+00:00	UAE	EHAM	OMDB			
DEN	EWR	0	domestic	OpenSky-2020-01	238	0.6515	2019-12-31 21:35:29+00:00	UAL	KDEN	KEWR			
DFW	LHR	0	international	OpenSky-2020-01	238	0.6515	2019-12-31 14:27:34+00:00	AAL	KDFW	EGLL			
MUC	MAN	0	international	OpenSky-2020-01	238	0.6515	2020-01-01 15:03:36+00:00	DLH	EDDM	EGCC	LH	346	478
ARN	TLL	0	international	OpenSky-2020-01	237	0.6510	2020-01-01 05:08:52+00:00	SAS	ESSA	EETN			
FRA	JFK	10	international	OpenSky-2020-01	237	0.6510	2019-12-31 21:17:39+00:00	DLH	EDDF	KJFK	AF	340	3797
PRG	LHR	0	international	OpenSky-2020-01	237	0.6510	2020-01-01 06:08:12+00:00	BAW	LKPR	EGLL			
MAD	VIE	0	international	OpenSky-2020-01	237	0.6510	2020-01-01 05:04:39+00:00	IBE	LEMD	LOWW			
FRA	MAN	0	international	OpenSky-2020-01	236	0.6505	2020-01-01 10:21:29+00:00	DLH	EDDF	EGCC			
FRA	OSL	0	international	OpenSky-2020-01	236	0.6505	2020-01-01 08:02:53+00:00	DLH	EDDF	ENGM			
CLT	LAS	0	domestic	OpenSky-2020-01	233	0.6489	2020-01-01 01:43:29+00:00	AAL	KCLT	KLAS			
AMS	WAW	0	international	OpenSky-2020-01	231	0.6479	2020-01-01 09:29:32+00:00	LOT	EHAM	EPWA			
FRA	LUX	0	international	OpenSky-2020-01	231	0.6479	2020-01-01 16:27:31+00:00	DLH	EDDF	ELLX			
MIA	PHX	0	domestic	OpenSky-2020-01	230	0.6474	2019-12-31 19:22:18+00:00	AAL	KMIA	KPHX			
CDG	ATL	0	international	OpenSky-2020-01	228	0.6464	2019-12-31 21:03:38+00:00	AFR	LFPG	KATL			
BCN	LIS	0	international	OpenSky-2020-01	228	0.6464	2020-01-01 06:57:36+00:00	TAP	LEBL	LPPT			
CDG	YUL	0	international	OpenSky-2020-01	227	0.6459	2019-12-31 17:44:28+00:00	AFR	LFPG	CYUL			
YYZ	LAS	0	international	OpenSky-2020-01	227	0.6459	2019-12-31 21:23:40+00:00	ROU	CYYZ	KLAS			
AMS	ATL	8	cargo	OpenSky-2020-01	226	0.6453	2019-12-31 16:00:59+00:00	DAL	EHAM	KATL	DL	580	3682
LGW	ARN	0	international	OpenSky-2020-01	223	0.6437	2020-01-01 09:22:16+00:00	IBK	EGKK	ESSA			
ATL	LHR	0	international	OpenSky-2020-01	223	0.6437	2019-12-31 15:44:51+00:00	DAL	KATL	EGLL			
LIS	CDG	0	international	OpenSky-2020-01	223	0.6437	2020-01-01 05:51:16+00:00	AFR	LPPT	LFPG			
YVR	LAS	0	international	OpenSky-2020-01	223	0.6437	2019-12-31 22:54:10+00:00	WJA	CYVR	KLAS			
SZX	SIN	0	international	OpenSky-2020-01	222	0.6432	2019-12-31 23:16:56+00:00	SLK	ZGSZ	WSSS			
BKK	LHR	0	international	OpenSky-2020-01	221	0.6427	2019-12-31 15:54:04+00:00	THA	VTBS	EGLL			
CLT	LAX	0	domestic	OpenSky-2020-01	221	0.6427	2019-12-31 20:08:22+00:00	AAL	KCLT	KLAX			
BRU	VIE	0	international	OpenSky-2020-01	219	0.6416	2020-01-01 14:48:30+00:00	AUA	EBBR	LOWW			
KUL	BLR	0	international	OpenSky-2020-01	218	0.6411	2019-12-31 22:36:25+00:00	MAS	WMKK	VOBL	9W	3304	3131
MAD	DUB	0	international	OpenSky-2020-01	218	0.6411	2020-01-01 07:17:20+00:00	RYR	LEMD	EIDW			
DUB	BRU	0	international	OpenSky-2020-01	217	0.6405	2020-01-01 06:26:32+00:00	EIN	EIDW	EBBR			
DEL	CMB	0	international	OpenSky-2020-01	217	0.6405	2020-01-01 00:00:38+00:00	ALK	VIDP	VCBI	AI	3093	3024
FRA	ICN	0	international	OpenSky-2020-01	217	0.6405	2019-12-31 16:37:12+00:00	AAR	EDDF	RKSI			
